0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
19,5,10,21,13,4,1,46.7294731140,-117.0122375488
19,5,10,21,24,12,1,46.7294921875,-117.0120697021
19,5,10,21,34,59,1,46.7294921875,-117.0121841430
19,5,10,21,45,59,1,46.7295989990,-117.0119552612
19,5,10,21,57,22,1,46.7295684814,-117.0121002197
19,5,10,22,8,19,1,46.7293472290,-117.0121459960
19,5,10,22,19,20,1,46.7298088073,-117.0120086669
19,5,10,22,30,20,1,46.7291221618,-117.0121612548
19,5,10,22,41,32,1,46.7296905517,-117.0119705200
19,5,10,22,53,14,1,46.7292594909,-117.0125427246
19,5,10,23,4,12,1,46.7294807434,-117.0119934082
19,5,10,23,15,7,1,46.7372474670,-117.0014495849
19,5,10,23,26,40,1,46.7346038818,-117.0043029785
19,5,10,23,50,43,1,46.7226676940,-116.9735946655
19,5,11,0,2,9,1,46.7298355102,-116.9534606933
19,5,11,0,13,4,1,46.7298355102,-116.9536285400
19,5,11,0,23,59,1,46.7298316955,-116.9535369873
19,5,11,0,35,16,1,46.7225074768,-116.9855651855
0,0,0,0,0,0,0,0,0
19,5,11,0,58,52,1,46.7173995971,-116.9915924072
19,5,11,1,9,43,0,46.7173233032,-116.9917221069
19,5,11,1,20,35,1,46.7173500061,-116.9917068481
19,5,11,1,31,29,1,46.7173728942,-116.9917221069
19,5,11,1,42,24,1,46.7175521850,-116.9919891357
19,5,11,1,53,19,1,46.7175559997,-116.9918212890
19,5,11,2,4,12,0,46.7174987792,-116.9917984008
19,5,11,2,15,42,1,46.7174987792,-116.9918594360
19,5,11,2,27,6,1,46.7173690795,-116.9917221069
19,5,11,2,38,2,1,46.7172660827,-116.9916152954
19,5,11,2,49,9,1,46.7172698974,-116.9915771484
19,5,11,3,0,29,1,46.7172546386,-116.9913635253
19,5,11,3,11,51,1,46.7172622680,-116.9915161132
19,5,11,3,22,49,1,46.7172927856,-116.9915008544
19,5,11,3,33,50,1,46.7179183959,-116.9983978271
0,0,0,0,0,0,0,0,0
19,5,11,3,54,47,1,46.7297973632,-117.0120620727
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
19,5,11,6,1,4,1,46.7173423767,-116.9918746948
19,5,11,6,11,56,1,46.7171211242,-116.9912109375
19,5,11,6,22,48,1,46.7174377441,-116.9917678833
19,5,11,6,33,44,1,46.7174224853,-116.9918212890
19,5,11,6,44,37,1,46.7174034118,-116.9917678833
19,5,11,6,55,30,1,46.7174186706,-116.9917297363
19,5,11,7,7,4,1,46.7174034118,-116.9917602539
19,5,11,7,17,58,0,46.7174453735,-116.9917831420
19,5,11,7,28,52,1,46.7172889709,-116.9918365478
19,5,11,7,39,46,1,46.7173233032,-116.9918060302
19,5,11,7,50,40,0,46.7173080444,-116.9917068481
19,5,11,8,1,33,1,46.7174453735,-116.9918060302
19,5,11,8,12,24,1,46.7175903320,-116.9917449951
19,5,11,8,23,18,1,46.7174797058,-116.9917068481
19,5,11,8,34,15,1,46.7174072265,-116.9914093017
19,5,11,8,45,22,1,46.7173919677,-116.9914627075
19,5,11,8,56,20,1,46.7170791625,-116.9913635253
19,5,11,9,7,32,1,46.7173652648,-116.9917221069
19,5,11,9,18,24,1,46.7173156738,-116.9920043945
19,5,11,9,29,17,1,46.7173767089,-116.9918060302
19,5,11,9,40,15,1,46.7172660827,-116.9918365478
19,5,11,9,51,12,1,46.7172203063,-116.9913864135
19,5,11,10,2,8,1,46.7173423767,-116.9916076660
19,5,11,10,13,13,1,46.7173423767,-116.9914627075
19,5,11,10,24,34,1,46.7172393798,-116.9915924072
19,5,11,10,35,29,1,46.7173461914,-116.9916915893
19,5,11,10,46,21,1,46.7176170349,-116.9920120239
19,5,11,10,57,16,1,46.7171363830,-116.9915008544
19,5,11,11,8,7,0,46.7173843383,-116.9916534423
19,5,11,11,19,2,1,46.7174148559,-116.9917831420
19,5,11,11,29,57,1,46.7172050476,-116.9917297363
19,5,11,11,40,52,0,46.7173194885,-116.9915771484
19,5,11,11,51,44,1,46.7174301147,-116.9917984008
19,5,11,12,2,52,1,46.7171974182,-116.9914245605
19,5,11,12,13,47,1,46.7172737121,-116.9912872314
19,5,11,12,24,49,1,46.7173881530,-116.9912872314
19,5,11,12,36,1,1,46.7173652648,-116.9917221069
19,5,11,12,46,55,1,46.7174148559,-116.9916534423
19,5,11,12,57,48,1,46.7174911499,-116.9919509887
19,5,11,13,8,39,1,46.7174415588,-116.9917068481
19,5,11,13,19,37,0,46.7175064086,-116.9915924072
19,5,11,13,30,39,1,46.7173881530,-116.9915695190
19,5,11,13,41,38,1,46.7172851562,-116.9915008544
19,5,11,13,52,58,1,46.7173843383,-116.9918365478
19,5,11,14,3,50,1,46.7177009582,-116.9923706054
19,5,11,14,15,2,1,46.7173347473,-116.9917068481
19,5,11,14,25,55,1,46.7173080444,-116.9917221069
19,5,11,14,36,46,0,46.7174224853,-116.9916839599
19,5,11,14,47,40,1,46.7173767089,-116.9916305541
19,5,11,14,58,33,1,46.7173271179,-116.9919281005
19,5,11,15,9,24,1,46.7173500061,-116.9918060302
19,5,11,15,20,16,1,46.7174224853,-116.9912719726
19,5,11,15,31,15,1,46.7173385620,-116.9912185668
19,5,11,15,42,34,1,46.7173271179,-116.9916839599
19,5,11,15,53,25,1,46.7173423767,-116.9917221069
19,5,11,16,4,19,1,46.7174072265,-116.9917449951
19,5,11,16,15,13,1,46.7173805236,-116.9917602539
19,5,11,16,26,5,1,46.7173004150,-116.9917297363
19,5,11,16,36,56,1,46.7174263000,-116.9917068481
19,5,11,16,47,48,1,46.7173767089,-116.9917221069
19,5,11,16,58,42,0,46.7176475524,-116.9918212890
19,5,11,17,9,36,1,46.7173652648,-116.9917221069
19,5,11,17,20,29,0,46.7172508239,-116.9916076660
19,5,11,17,31,26,1,46.7173843383,-116.9916534423
19,5,11,17,42,42,1,46.7174034118,-116.9916839599
19,5,11,17,53,35,1,46.7173881530,-116.9917297363
19,5,11,18,4,31,1,46.7173271179,-116.9915008544
19,5,11,18,15,24,0,46.7173080444,-116.9915390014
19,5,11,18,26,25,1,46.7173843383,-116.9918212890
19,5,11,18,37,50,1,46.7173805236,-116.9917068481
19,5,11,18,48,38,1,46.7173690795,-116.9917221069
19,5,11,18,59,32,1,46.7172775268,-116.9916458129
19,5,11,19,10,25,1,46.7172775268,-116.9917449951
19,5,11,19,21,15,1,46.7173042297,-116.9916915893
19,5,11,19,32,4,1,46.7173118591,-116.9916534423
19,5,11,19,42,55,1,46.7174682617,-116.9919738769
19,5,11,19,53,46,0,46.7173805236,-116.9918594360
19,5,11,20,4,37,0,46.7174530029,-116.9918365478
19,5,11,20,15,31,0,46.7176017761,-116.9918975830
19,5,11,20,26,25,0,46.7173767089,-116.9917221069
19,5,11,20,37,17,0,46.7173919677,-116.9917831420
19,5,11,20,48,6,0,46.7173233032,-116.9917297363
19,5,11,20,59,25,1,46.7173652648,-116.9917221069
19,5,11,21,10,17,0,46.7174491882,-116.9917678833
19,5,11,21,21,8,1,46.7173461914,-116.9916839599
19,5,11,21,31,57,0,46.7173309326,-116.9915390014
19,5,11,21,43,29,1,46.7172889709,-116.9915771484
19,5,11,21,54,18,0,46.7173500061,-116.9916915893
19,5,11,22,5,10,0,46.7173004150,-116.9916839599
19,5,11,22,15,59,1,46.7173194885,-116.9916915893
19,5,11,22,27,23,1,46.7174835205,-116.9919128417
19,5,11,22,38,32,1,46.7173538208,-116.9916687011
19,5,11,22,49,21,1,46.7173461914,-116.9916458129
19,5,11,23,0,14,1,46.7173538208,-116.9916839599
19,5,11,23,11,6,1,46.7173881530,-116.9917297363
19,5,11,23,21,58,1,46.7173500061,-116.9916915893
19,5,11,23,32,48,1,46.7172889709,-116.9916534423
19,5,11,23,43,40,1,46.7175254821,-116.9924392700
19,5,13,17,10,32,1,46.7295227050,-117.0121765136
19,5,13,17,21,23,1,46.7295532226,-117.0121231079
19,5,13,17,32,10,1,46.7295036315,-117.0119934082
19,5,13,17,42,58,1,46.7296447753,-117.0118179321
19,5,13,17,54,18,1,46.7294807434,-117.0122222900
19,5,13,18,5,5,0,46.7293853759,-117.0121231079
19,5,13,18,15,51,0,46.7294120788,-117.0121612548
19,5,13,18,27,2,1,46.7294692993,-117.0121994018
19,5,13,18,37,49,0,46.7294769287,-117.0122528076
19,5,13,18,48,36,1,46.7294998168,-117.0121994018
19,5,13,18,59,56,1,46.7294387817,-117.0121383666
19,5,13,19,10,43,1,46.7294883728,-117.0122375488
19,5,13,19,21,31,1,46.7294998168,-117.0121383666
19,5,13,19,32,49,1,46.7294425964,-117.0120239257
19,5,13,19,43,37,1,46.7295608520,-117.0125350952
19,5,13,19,54,26,1,46.7295188903,-117.0121002197
19,5,13,20,1,8,1,46.7294387817,-117.0121383666
19,5,13,20,12,11,1,46.7294349670,-117.0122146606
19,5,13,20,23,3,0,46.7295150756,-117.0115966796
19,5,13,20,33,57,1,46.7295532226,-117.0110626220
19,5,13,20,44,52,1,46.7294464111,-117.0119171142
19,5,13,20,56,1,1,46.7295227050,-117.0121994018
19,5,13,21,6,51,0,46.7295265197,-117.0122528076
19,5,13,21,17,40,1,46.7294387817,-117.0121841430
19,5,13,21,28,30,1,46.7295150756,-117.0122528076
19,5,13,21,39,20,1,46.7294998168,-117.0122604370
19,5,13,21,50,14,1,46.7293548583,-117.0121383666
19,5,13,22,1,3,1,46.7294998168,-117.0122756958
19,5,13,22,12,26,1,46.7294807434,-117.0122222900
19,5,13,22,23,17,1,46.7294578552,-117.0121841430
19,5,13,22,34,11,1,46.7294960021,-117.0121765136
19,5,13,22,45,5,1,46.7294502258,-117.0121459960
19,5,13,22,55,59,1,46.7295188903,-117.0121078491
19,5,13,23,6,56,1,46.7294845581,-117.0120620727
19,5,13,23,18,2,1,46.7297058105,-117.0123138427
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
19,5,15,0,33,41,1,46.7174377441,-116.9918365478
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
19,5,15,2,27,50,1,46.7294998168,-117.0107498168
19,5,15,2,39,48,1,46.7294616699,-117.0118789672
19,5,15,2,51,58,1,46.7295608520,-117.0127410888
0,0,0,0,0,0,0,0,0
19,5,15,3,16,43,1,46.7296142578,-117.0120849609
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
19,5,15,15,13,32,1,46.7294883728,-117.0121459960
19,5,15,15,24,25,1,46.7294425964,-117.0121841430
19,5,15,15,35,16,1,46.7295188903,-117.0122222900
19,5,15,15,46,5,1,46.7294273376,-117.0121841430
19,5,15,15,56,56,1,46.7294616699,-117.0121383666
19,5,15,16,7,45,1,46.7294540405,-117.0122146606
