HDOP,Lat,Lon,NumSats,GPSDate,GPSTime,FixTime,BestTime,EndTime
220,46.71748,-116.99164,5,110318,5124600,11558,11699,11672
194,46.717335,-116.99192,5,110318,5232800,11866,33016,32989
175,46.7173,-116.99184,6,110318,5333900,4187,23344,23317
139,46.717369,-116.99164,7,110318,5391100,7592,7618,7591
126,46.717255,-116.99197,7,110318,5494300,18949,18975,18948
139,46.717342,-116.99189,6,110318,6000800,23293,23318,23292
172,46.717285,-116.99208,6,110318,6105000,44626,44653,44625
149,46.717297,-116.99221,7,110318,6203100,4930,5070,5043
221,46.717369,-116.99178,3,110318,6305000,3242,3268,3241
130,46.717384,-116.99203,7,110318,6411400,6557,6582,6556
124,46.717178,-116.99204,8,110318,6513800,9880,9904,9879
99,46.71751,-116.99206,8,110318,7020900,6191,20344,20317
144,46.717258,-116.99186,6,110318,7121600,6492,6517,6491
162,46.717361,-116.99196,6,110318,7224000,9788,9812,9787
107,46.717384,-116.99198,7,110318,7330200,11068,11093,11067
116,46.717335,-116.99207,6,110318,7432200,10342,10367,10341
142,46.717377,-116.99203,5,110318,7533800,5644,5787,5759
142,46.717419,-116.99197,5,110318,8040100,7920,7947,7919
147,46.717342,-116.99207,5,110318,8144700,33200,33225,33198
113,46.71735,-116.99199,6,110318,8244000,5458,5484,5457
135,46.717354,-116.99195,5,110318,8352500,29711,29737,29711
175,46.717407,-116.99197,4,110318,8454900,32969,32995,32968
116,46.717236,-116.992,7,110318,8554700,10203,10229,10202
117,46.717228,-116.99201,7,110318,9060400,6445,6471,6444
176,46.717339,-116.99197,6,110318,9164100,22688,22713,22687
169,46.717602,-116.99161,6,110318,9265900,19933,19958,19932
145,46.717419,-116.99185,7,110318,9371600,16189,16214,16188
150,46.717358,-116.99191,7,110318,9473600,15441,15467,15440
154,46.71722,-116.99204,7,110318,9575300,11673,11698,11672
179,46.717499,-116.99191,7,110318,10083300,30941,30968,30940
241,46.717339,-116.99173,7,110318,10190600,43175,43202,43174
117,46.717319,-116.99208,8,110318,10291600,32427,32453,32425
134,46.717247,-116.99197,7,110318,10391800,13649,13675,13648
152,46.717262,-116.99198,6,110318,10494500,19867,19894,19866
125,46.717308,-116.99194,7,110318,11001900,33092,33118,33091
108,46.717155,-116.99203,9,110318,11101800,11317,11343,11315
194,46.717323,-116.99169,6,110318,11203500,7542,7568,7541
177,46.717384,-116.99171,7,110318,11305800,9773,9800,9772
94,46.717304,-116.992,9,110318,11412200,13021,13047,13020
242,46.717278,-116.99251,5,110318,11515000,20259,20406,20380
169,46.717243,-116.99234,6,110318,12015800,7492,7633,7608
150,46.717308,-116.99216,6,110318,12122700,15737,15763,15736
149,46.717545,-116.99171,6,110318,12224900,16987,17013,16986
147,46.717655,-116.99157,5,110318,12332300,30236,30263,30235
145,46.717407,-116.9919,5,110318,12433200,18488,18515,18487
147,46.7174,-116.992,5,110318,12535900,24745,24771,24744
165,46.717373,-116.99193,7,110318,13043100,35991,36132,36105
148,46.717381,-116.99216,8,110318,13142000,4240,4382,4354
223,46.717388,-116.99192,6,110318,13244000,3509,3655,3628
222,46.717422,-116.99194,6,110318,13350000,3070,3211,3185
221,46.717449,-116.99164,6,110318,13452500,7081,7107,7080
235,46.717171,-116.99215,6,110318,13554300,4352,4378,4351
146,46.717484,-116.99173,8,110318,14063100,6597,31749,31723
196,46.717422,-116.99173,7,110318,14162700,5870,7008,6982
240,46.7174,-116.99184,6,110318,14264700,4213,6278,6252
231,46.717297,-116.99199,6,110318,14370700,5422,5564,5537
239,46.717281,-116.99192,6,110318,14472800,3286,5852,5827
194,46.71719,-116.992,6,110318,14575000,6012,7148,7120
209,46.717388,-116.99184,6,110318,15080800,4487,4513,4486
177,46.717377,-116.99191,6,110318,15182800,3636,3778,3750
226,46.717453,-116.99194,5,110318,15285000,4972,5112,5086
231,46.717484,-116.992,5,110318,15391000,4275,4302,4274
154,46.717388,-116.99208,9,110318,15500900,6598,42747,42722
155,46.717331,-116.99205,6,110318,15595100,3891,3917,3890
144,46.717308,-116.99193,8,110318,16101300,5204,5346,5319
179,46.717377,-116.99183,5,110318,16203600,7517,7659,7633
139,46.7173,-116.99193,7,110318,16305900,9827,9852,9826
201,46.71759,-116.99203,7,110318,16411500,5130,5272,5245
236,46.7173,-116.99183,6,110318,16513800,7441,7581,7555
213,46.717403,-116.99192,6,110318,17020200,3897,10913,10886
234,46.717678,-116.99198,5,110318,17121900,7043,7184,7157
222,46.717304,-116.99229,5,110318,17223800,5346,5486,5460
172,46.717278,-116.99191,6,110318,17331400,20627,20654,20626
233,46.717373,-116.99204,5,110318,17432400,9948,9974,9947
80,46.717312,-116.99205,11,110318,17540100,12262,26422,26393
203,46.717312,-116.99197,6,110318,18040000,4598,4738,4713
144,46.71735,-116.99184,8,110318,18141900,2903,3050,3024
167,46.71722,-116.99213,8,110318,18244300,6535,6683,6655
191,46.717415,-116.99185,7,110318,18350200,4516,4543,4515
108,46.717545,-116.9917,7,110318,18452400,4840,5971,5946
223,46.717255,-116.99201,6,110318,18554200,3323,3349,3323
217,46.717625,-116.99183,4,110318,19060700,7460,7487,7459
197,46.717552,-116.99187,5,110318,19162500,4780,4806,4779
182,46.71714,-116.99187,5,110318,19265300,12097,12237,12211
233,46.717651,-116.99151,5,110318,19371000,8414,8441,8413
226,46.71714,-116.99216,4,110318,19473400,11745,11891,11864
239,46.717293,-116.99194,4,110318,19575200,9035,9061,9034
203,46.717384,-116.99188,7,110318,20083900,26449,35484,35456
216,46.717091,-116.99233,7,110318,20183000,5645,5670,5645
232,46.717339,-116.99222,6,110318,20290300,17972,17999,17971
220,46.717457,-116.9919,7,110318,20392100,10272,15419,15393
231,46.717422,-116.99187,6,110318,20493000,3868,3895,3867
249,46.7173,-116.99221,6,110318,20595600,8899,8925,8898
179,46.717392,-116.99194,7,110318,21101300,5193,5220,5192
181,46.717213,-116.9921,6,110318,21203200,3517,3541,3516
163,46.717266,-116.992,6,110318,21305300,3952,4099,4073
102,46.717491,-116.99207,9,110318,21414100,31180,31207,31179
165,46.717297,-116.992,7,110318,21513500,4482,4630,4603
87,46.717346,-116.99194,10,110318,22022200,30810,30835,30809
119,46.717453,-116.99201,8,110318,22122000,8171,8196,8170
196,46.717335,-116.99203,6,110318,22224000,7554,7581,7553
200,46.717621,-116.99168,6,110318,22325700,3854,3996,3968
215,46.717484,-116.99152,6,110318,22432000,6222,6249,6221
190,46.717461,-116.9918,7,110318,22534100,6565,6592,6564
163,46.717346,-116.99191,5,110318,23042800,32955,33097,33070
163,46.717293,-116.99181,5,110318,23142400,6287,8430,8402
162,46.717365,-116.99184,5,110318,23244000,4023,4049,4022
205,46.717319,-116.99196,3,110318,23352000,11046,23190,23164
162,46.717262,-116.99191,5,110318,23452800,9387,10528,10501
161,46.717339,-116.99194,5,110318,23554600,7772,7918,7892
122,46.717354,-116.9919,7,120318,63000,31250,31391,31365
241,46.717297,-116.99191,5,120318,163100,11503,11644,11618
119,46.717369,-116.99185,7,120318,265800,3897,17966,17941
131,46.7174,-116.992,6,120318,370400,3540,3681,3655
126,46.717491,-116.99212,6,120318,473400,7564,12700,12673
130,46.717388,-116.99199,5,120318,574700,5016,5156,5130
121,46.717369,-116.992,6,120318,1083100,4361,28369,28342
120,46.717327,-116.99185,6,120318,1183000,3564,6700,6675
120,46.717422,-116.99174,6,120318,1285700,5889,13022,12995
103,46.717449,-116.99191,7,120318,1393100,26227,26369,26342
239,46.717503,-116.99168,8,120318,1493200,5549,6697,6672
247,46.717136,-116.99241,6,120318,1595100,4871,5015,4987
228,46.717125,-116.99216,4,120318,2101100,4243,4390,4362
177,46.717297,-116.99208,5,120318,2203500,7534,7676,7649
153,46.717308,-116.99212,5,120318,2305300,4827,4853,4826
140,46.717354,-116.99198,5,120318,2411500,6149,6175,6148
215,46.717289,-116.99225,4,120318,2513300,3648,3674,3648
143,46.717392,-116.99186,5,120318,3015700,6766,6791,6765
151,46.717358,-116.99197,5,120318,3121600,5070,5096,5069
153,46.717339,-116.99197,6,120318,3223700,5369,5395,5368
174,46.717388,-116.99217,5,120318,3330700,14683,14708,14682
196,46.717411,-116.99184,5,120318,3431900,5974,6117,6089
239,46.717457,-116.99197,4,120318,3534200,8262,8287,8261
196,46.717407,-116.99174,8,120318,4043100,36568,36710,36682
128,46.717606,-116.99149,8,120318,4143900,15819,23966,23939
148,46.717178,-116.99232,8,120318,4244400,8095,8120,8094
133,46.717377,-116.99195,7,120318,4350100,4387,4412,4386
160,46.717319,-116.99197,6,120318,4452300,5670,5695,5669
235,46.717529,-116.9916,7,120318,4554200,3963,3990,3963
217,46.7173,-116.99187,7,120318,5060400,5225,5250,5224
204,46.717449,-116.99174,6,120318,5162800,8505,8530,8504
200,46.717411,-116.99175,7,120318,5264900,8776,8800,8775
166,46.71735,-116.99188,6,120318,5373100,20047,30192,30166
155,46.717438,-116.99184,6,120318,5472600,3302,4443,4417
161,46.717297,-116.992,5,120318,5574600,3558,3700,3672
211,46.717308,-116.99199,5,120318,6081500,11807,11948,11922
